movieId,title,genres,combined_features
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995) Adventure Animation Children Comedy Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji (1995) Adventure Children Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995) Comedy Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale (1995) Comedy Drama Romance
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II (1995) Comedy
6,Heat (1995),Action|Crime|Thriller,Heat (1995) Action Crime Thriller
7,Sabrina (1995),Comedy|Romance,Sabrina (1995) Comedy Romance
8,Tom and Huck (1995),Adventure|Children,Tom and Huck (1995) Adventure Children
9,Sudden Death (1995),Action,Sudden Death (1995) Action
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995) Action Adventure Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The (1995) Comedy Drama Romance"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It (1995) Comedy Horror
13,Balto (1995),Adventure|Animation|Children,Balto (1995) Adventure Animation Children
14,Nixon (1995),Drama,Nixon (1995) Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island (1995) Action Adventure Romance
16,Casino (1995),Crime|Drama,Casino (1995) Crime Drama
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995) Drama Romance
18,Four Rooms (1995),Comedy,Four Rooms (1995) Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls (1995) Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train (1995) Action Comedy Crime Drama Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty (1995) Comedy Crime Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat (1995) Crime Drama Horror Mystery Thriller
23,Assassins (1995),Action|Crime|Thriller,Assassins (1995) Action Crime Thriller
24,Powder (1995),Drama|Sci-Fi,Powder (1995) Drama Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas (1995) Drama Romance
26,Othello (1995),Drama,Othello (1995) Drama
27,Now and Then (1995),Children|Drama,Now and Then (1995) Children Drama
28,Persuasion (1995),Drama|Romance,Persuasion (1995) Drama Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama
31,Dangerous Minds (1995),Drama,Dangerous Minds (1995) Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys) (1995) Mystery Sci-Fi Thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX,Wings of Courage (1995) Adventure Romance IMAX
34,Babe (1995),Children|Drama,Babe (1995) Children Drama
35,Carrington (1995),Drama|Romance,Carrington (1995) Drama Romance
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking (1995) Crime Drama
37,Across the Sea of Time (1995),Documentary|IMAX,Across the Sea of Time (1995) Documentary IMAX
38,It Takes Two (1995),Children|Comedy,It Takes Two (1995) Children Comedy
39,Clueless (1995),Comedy|Romance,Clueless (1995) Comedy Romance
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country (1995) Drama"
41,Richard III (1995),Drama|War,Richard III (1995) Drama War
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents (1995) Action Crime Drama
43,Restoration (1995),Drama,Restoration (1995) Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat (1995) Action Adventure Fantasy
45,To Die For (1995),Comedy|Drama|Thriller,To Die For (1995) Comedy Drama Thriller
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt (1995) Drama Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en) (1995) Mystery Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas (1995) Animation Children Drama Musical Romance
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling (1995) Drama Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The (1995) Crime Mystery Thriller"
51,Guardian Angel (1994),Action|Drama|Thriller,Guardian Angel (1994) Action Drama Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite (1995) Comedy Drama Romance
53,Lamerica (1994),Adventure|Drama,Lamerica (1994) Adventure Drama
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The (1995) Children Comedy"
55,Georgia (1995),Drama,Georgia (1995) Drama
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,Kids of the Round Table (1995) Adventure Children Fantasy
57,Home for the Holidays (1995),Drama,Home for the Holidays (1995) Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il) (1994) Comedy Drama Romance"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"Confessional, The (Confessionnal, Le) (1995) Drama Mystery"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The (1995) Adventure Children Fantasy"
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye (1996) Drama Thriller
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus (1995) Drama
